Sequence_ID,Prediction_score,adjustment,Hybrid_score,Class
Seq_1,0.9990268854894215,0.0,0.9990268854894215,Antioxidant
Seq_2,0.9815309346133243,0.0,0.9815309346133243,Antioxidant
Seq_3,0.9863010502963413,0.0,0.9863010502963413,Antioxidant
Seq_4,0.35226949752251346,0.5,0.8522694975225135,Antioxidant
Seq_5,0.913354514335007,-0.5,0.41335451433500703,Non-Antioxidant
Seq_6,0.9922136541371329,-0.5,0.4922136541371329,Non-Antioxidant
Seq_7,0.9586122968465698,0.0,0.9586122968465698,Antioxidant
Seq_8,0.9822603540495647,0.0,0.9822603540495647,Antioxidant
Seq_9,0.7758844831941725,0.0,0.7758844831941725,Antioxidant
Seq_10,0.9497467516147586,0.0,0.9497467516147586,Antioxidant
Seq_11,0.9976244019053884,0.0,0.9976244019053884,Antioxidant
Seq_12,0.9973809696438921,0.5,1.0,Antioxidant
Seq_13,0.9897237137639672,0.0,0.9897237137639672,Antioxidant
Seq_14,0.9340910894063794,0.0,0.9340910894063794,Antioxidant
Seq_15,0.9995417856778811,0.0,0.9995417856778811,Antioxidant
Seq_16,0.03963698232724541,0.0,0.03963698232724541,Non-Antioxidant
Seq_17,0.9673287772867829,0.0,0.9673287772867829,Antioxidant
Seq_18,0.8817768041185394,0.0,0.8817768041185394,Antioxidant
Seq_19,0.3978174813889066,0.0,0.3978174813889066,Non-Antioxidant
Seq_20,0.9693053078615493,0.0,0.9693053078615493,Antioxidant
Seq_21,0.9994535045074071,0.5,1.0,Antioxidant
Seq_22,0.9792041296730163,0.0,0.9792041296730163,Antioxidant
Seq_23,0.9999484082312305,0.0,0.9999484082312305,Antioxidant
Seq_24,0.9941474445789841,0.0,0.9941474445789841,Antioxidant
Seq_25,0.9926227346714461,0.0,0.9926227346714461,Antioxidant
Seq_26,0.9981281902963939,0.0,0.9981281902963939,Antioxidant
Seq_27,0.9898373149750641,0.0,0.9898373149750641,Antioxidant
Seq_28,0.9993711634227938,0.0,0.9993711634227938,Antioxidant
Seq_29,0.9887795570566433,0.0,0.9887795570566433,Antioxidant
Seq_30,0.9927837441662282,0.0,0.9927837441662282,Antioxidant
Seq_31,0.9863891864493124,0.0,0.9863891864493124,Antioxidant
Seq_32,0.7338998308736391,0.0,0.7338998308736391,Antioxidant
Seq_33,0.7051710685380089,0.0,0.7051710685380089,Antioxidant
Seq_34,0.4780179999905352,0.0,0.4780179999905352,Non-Antioxidant
Seq_35,0.5184608033130755,0.0,0.5184608033130755,Antioxidant
Seq_36,0.04269554205464503,0.0,0.04269554205464503,Non-Antioxidant
Seq_37,0.995917621252712,0.0,0.995917621252712,Antioxidant
Seq_38,0.9932447409559604,0.5,1.0,Antioxidant
Seq_39,0.9980512865467066,0.5,1.0,Antioxidant
Seq_40,0.9996554420596406,0.5,1.0,Antioxidant
Seq_41,0.8871359977850783,0.0,0.8871359977850783,Antioxidant
Seq_42,0.024937100570305726,0.0,0.024937100570305726,Non-Antioxidant
Seq_43,0.9985284792085336,0.5,1.0,Antioxidant
Seq_44,0.7167255600100142,0.0,0.7167255600100142,Antioxidant
Seq_45,0.9110039166843226,0.0,0.9110039166843226,Antioxidant
Seq_46,0.8447896317678179,0.0,0.8447896317678179,Antioxidant
Seq_47,0.9713248172514182,0.0,0.9713248172514182,Antioxidant
Seq_48,0.9387919436870213,0.0,0.9387919436870213,Antioxidant
Seq_49,0.9634337419528591,0.0,0.9634337419528591,Antioxidant
Seq_50,0.9961647041166314,0.0,0.9961647041166314,Antioxidant
Seq_51,0.9910175060435142,0.0,0.9910175060435142,Antioxidant
Seq_52,0.9830406558279351,0.0,0.9830406558279351,Antioxidant
Seq_53,0.9993335323758197,0.5,1.0,Antioxidant
Seq_54,0.9943522374738837,0.0,0.9943522374738837,Antioxidant
Seq_55,0.9997091974212721,0.0,0.9997091974212721,Antioxidant
Seq_56,0.999120709660945,0.5,1.0,Antioxidant
Seq_57,0.9691799906748049,0.0,0.9691799906748049,Antioxidant
Seq_58,0.9988302124146339,0.0,0.9988302124146339,Antioxidant
Seq_59,0.9490620539392257,0.0,0.9490620539392257,Antioxidant
Seq_60,0.989129038857491,0.0,0.989129038857491,Antioxidant
Seq_61,0.8280494764792584,0.0,0.8280494764792584,Antioxidant
Seq_62,0.8171204116373715,0.0,0.8171204116373715,Antioxidant
